regime,policy,accuracy,average_cost,revise_rate,gain_vs_always_rg,cost_delta_vs_always_rg,cost_savings_vs_always_dpr,oracle_gap
math500_100,reasoning_greedy,0.6400,1.0000,0.0000,0.0000,0.0000,1.0000,0.0600
math500_100,direct_plus_revise,0.6400,2.0000,1.0000,0.0000,1.0000,0.0000,0.0600
math500_100,adaptive_policy_v5,0.6600,1.7100,0.7100,0.0200,0.7100,0.2900,0.0400
math500_100,adaptive_policy_v6,0.6500,1.0300,0.0300,0.0100,0.0300,0.9700,0.0500
math500_100,adaptive_policy_v7,0.6500,1.0900,0.0900,0.0100,0.0900,0.9100,0.0500
hard_gsm8k_100,reasoning_greedy,0.7900,1.0000,0.0000,0.0000,0.0000,1.0000,0.1200
hard_gsm8k_100,direct_plus_revise,0.8600,2.0000,1.0000,0.0700,1.0000,0.0000,0.0500
hard_gsm8k_100,adaptive_policy_v5,0.8600,1.5300,0.5300,0.0700,0.5300,0.4700,0.0500
hard_gsm8k_100,adaptive_policy_v6,0.8100,1.2600,0.2600,0.0200,0.2600,0.7400,0.1000
hard_gsm8k_100,adaptive_policy_v7,0.8200,1.4600,0.4600,0.0300,0.4600,0.5400,0.0900
hard_gsm8k_b2,reasoning_greedy,0.8300,1.0000,0.0000,0.0000,0.0000,1.0000,0.0900
hard_gsm8k_b2,direct_plus_revise,0.9100,2.0000,1.0000,0.0800,1.0000,0.0000,0.0100
hard_gsm8k_b2,adaptive_policy_v5,0.9100,1.4100,0.4100,0.0800,0.4100,0.5900,0.0100
hard_gsm8k_b2,adaptive_policy_v6,0.8900,1.2700,0.2700,0.0600,0.2700,0.7300,0.0300
hard_gsm8k_b2,adaptive_policy_v7,0.8900,1.4000,0.4000,0.0600,0.4000,0.6000,0.0300
gsm8k_random_100,reasoning_greedy,0.9000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0200
gsm8k_random_100,direct_plus_revise,0.9200,2.0000,1.0000,0.0200,1.0000,0.0000,0.0000
gsm8k_random_100,adaptive_policy_v5,0.9200,1.2900,0.2900,0.0200,0.2900,0.7100,0.0000
gsm8k_random_100,adaptive_policy_v6,0.9200,1.1800,0.1800,0.0200,0.1800,0.8200,0.0000
gsm8k_random_100,adaptive_policy_v7,0.9200,1.3000,0.3000,0.0200,0.3000,0.7000,0.0000
